Orden,Familia,Taxa,Ingles,Espanol_CR,Estatus,Species
,,Elanus leucurus,White-tailed Kite,"Elanio Coliblanco (Gavilán Bailarín, Gavilancillo Blanco)",R,White-tailed Kite
,,Chondrohierax uncinatus,Hook-billed Kite,Gavilán Piquiganchudo,R,Hook-billed Kite
,,Leptodon cayanensis,Gray-headed Kite,Gavilán Cabecigrís,R,Gray-headed Kite
,,Elanoides forficatus,Swallow-tailed Kite,Elanio Tijereta (Gavilán Tijereta),"R, RR, M",Swallow-tailed Kite
,,Spizaetus tyrannus,Black Hawk-Eagle,Aguilillo Negro (Aguilucho),R,Black Hawk-Eagle
,,Spizaetus ornatus,Ornate Hawk-Eagle,Aguilillo Penachudo (Aguilucho),R,Ornate Hawk-Eagle
,,Harpagus bidentatus,Double-toothed Kite,Gavilán Gorgirrayado,R,Double-toothed Kite
,,Accipiter superciliosus,Tiny Hawk,Gavilán Enano (Camaleón),R,Tiny Hawk
,,Ictinia mississippiensis,Mississippi Kite,Elanio Colinegro,M,Mississippi Kite
,,Geranospiza caerulescens,Crane Hawk,Gavilán Ranero (Caracolero),R,Crane Hawk
,,Buteogallus urubitinga,Great Black Hawk,"Gavilán Negro Mayor (Aguilucho, Gavilán Silbero, Cangrejero)",R,Great Black Hawk
,,Morphnarchus princeps,Barred Hawk,Gavilán Pechinegro,R,Barred Hawk
,,Rupornis magnirostris,Roadside Hawk,Gavilán Chapulinero (Pata Podrida),R,Roadside Hawk
,,Parabuteo unicinctus,Harris's Hawk,Gavilán Alicastaño,"R, M?",Harris's Hawk
,,Pseudastur albicollis,White Hawk,Gavilán Blanco,R,White Hawk
,,Buteo plagiatus,Gray Hawk,Gavilán Gris (Gavilán Pollero),R,Gray Hawk
,,Buteo platypterus,Broad-winged Hawk,Gavilán Aludo (Gavilán Pollero),M,Broad-winged Hawk
,,Buteo brachyurus,Short-tailed Hawk,Gavilán Colicorto,"R, M",Short-tailed Hawk
,,Buteo swainsoni,Swainson's Hawk,Gavilán de Swainson,M,Swainson's Hawk
,,Buteo albonotatus,Zone-tailed Hawk,Gavilán Colifajeado,"R, M",Zone-tailed Hawk
Strigiformes,,,,,,
,Strigidae,,,,,
,,Pulsatrix perspicillata,Spectacled Owl,Búho de Anteojos (Oropopo),R,Spectacled Owl
,,Strix virgata,Mottled Owl,Lechuza Café (Ju de León),R,Mottled Owl
,,Strix nigrolineata,Black-and-white Owl,Lechuza Blanco y Negro,R,Black-and-white Owl
Trogoniformes,,,,,,
,Trogonidae,,,,,
,,Trogon massena,Slaty-tailed Trogon,Trogón Coliplomizo (Caicota),R,Slaty-tailed Trogon
,,Trogon melanocephalus,Black-headed Trogon,Trogón Cabecinegro (Viuda Amarilla),R,Black-headed Trogon
,,Trogon caligatus,Gartered Trogon,Trogón Violáceo,R,Gartered Trogon
,,Trogon rufus,Black-throated Trogon,Trogón Cabeciverde,R,Black-throated Trogon
,,Trogon collaris,Collared Trogon,"Trogón Collarejo (Viuda Roja, Quetzal Macho)",R,Collared Trogon
Coraciiformes,,,,,,
,Momotidae,,,,,
,,Hylomanes momotula,Tody Motmot,Momoto Enano (Pájaro Bobo),R,Tody Motmot
,,Baryphthengus martii,Rufous Motmot,Momoto Canelo Mayor (Pájaro Bobo),R,Rufous Motmot
,,Electron carinatum,Keel-billed Motmot,Momoto Pico Quilla (Pájaro Bobo),R,Keel-billed Motmot
,,Electron platyrhynchum,Broad-billed Motmot,Momoto Piquiancho (Pájaro Bobo),R,Broad-billed Motmot
,Alcedinidae,,,,,
,,Megaceryle  torquata,Ringed Kingfisher,Martín Pescador Collarejo,R,Ringed Kingfisher
,,Megaceryle alcyon,Belted Kingfisher,Martín Pescador Norteño,M,Belted Kingfisher
,,Chloroceryle amazona,Amazon Kingfisher,Martín Pescador Amazónico,R,Amazon Kingfisher
,,Chloroceryle americana,Green Kingfisher,Martín Pescador Verde,R,Green Kingfisher
Piciformes,,,,,,
,Bucconidae,,,,,
,,Notharchus tectus,Pied Puffbird,Buco Pinto,R,Pied Puffbird
,,Malacoptila panamensis,White-whiskered Puffbird,Buco Barbón,R,White-whiskered Puffbird
,Galbulidae,,,,,
,,Galbula ruficauda,Rufous-tailed Jacamar,Jacamar Rabirrufo (Gorrión de Montaña),R,Rufous-tailed Jacamar
,Ramphastidae,,,,,
,,Pteroglossus torquatus,Collared Aracari,"Tucancillo Collarejo (Cusingo, Tití, Félix)",R,Collared Aracari
,,Selenidera spectabilis,Yellow-eared Toucanet,Tucancillo Orejiamarillo,R-END,Yellow-eared Toucanet
,,Ramphastos sulfuratus,Keel-billed Toucan,"Tucán Pico Iris (Tucán Pico Arcoiris, Curré Negro)",R,Keel-billed Toucan
,Picidae,,,,,
,,Picumnus olivaceus,Olivaceous Piculet,Carpinterito Oliváceo (Telegrafista),R,Olivaceous Piculet
,,Melanerpes pucherani,Black-cheeked Woodpecker,Carpintero Carinegro,R,Black-cheeked Woodpecker
,,Melanerpes hoffmannii,Hoffmann's Woodpecker,Carpintero de Hoffmann,R-END,Hoffmann's Woodpecker
,,Sphyrapicus varius,Yellow-bellied Sapsucker,Carpintero Bebedor,M,Yellow-bellied Sapsucker
,,Dryobates fumigatus,Smoky-brown Woodpecker,Carpintero Pardo,R,Smoky-brown Woodpecker
,,Piculus simplex,Rufous-winged Woodpecker,Carpintero Alirrufo,R-END,Rufous-winged Woodpecker
,,Colaptes rubiginosus,Golden-olive Woodpecker,Carpintero Verde Dorado,R,Golden-olive Woodpecker
