Orden,Familia,Taxa,Ingles,Español,Estatus,
,,Chaetura fumosa,Costa Rican Swift,Vencejo de Rabadilla Clara,R-END,
,,Chaetura pelagica,Chimney Swift,Vencejo de Paso,M,
,,Chaetura vauxi,Vaux's Swift,Vencejo Común,R,
,,Panyptila cayennensis,Lesser Swallow-tailed Swift,Vencejo Tijereta Menor (Macuá),R,
,,Panyptila sanctihieronymi,Great Swallow-tailed Swift,Vencejo Tijereta Mayor,A- SC,
,Trochilidae (52),,,,,
,,Florisuga mellivora,White-necked Jacobin,Jacobino Nuquiblanco,R,
,,Eutoxeres aquila,White-tipped Sicklebill,Pico de Hoz,R,
,,Glaucis aeneus,Bronzy Hermit,Ermitaño Bronceado,R,
,,Threnetes ruckeri,Band-tailed Barbthroat,Ermitaño Barbudo,R,
,,Phaethornis guy,Green Hermit,Ermitaño Verde,R,
,,Phaethornis longirostris,Long-billed Hermit,Ermitaño Colilargo,R,
,,Phaethornis striigularis,Stripe-throated Hermit,Ermitaño Enano,R,
,,Doryfera ludovicae,Green-fronted Lancebill,Pico de Lanza Frentiverde,R,
,,Colibri delphinae,Brown Violetear,Colibrí Orejivioláceo Pardo,R,
,,Colibri cyanotus ,Lesser Violetear,Colibrí Orejivioláceo Verde,R,
,,Heliothryx barroti,Purple-crowned Fairy,Colibrí Picopunzón,R,
,,Anthracothorax prevostii,Green-breasted Mango,Colibrí Manguito Pechiverde,R,
,,Anthracothorax veraguensis,Veraguan Mango,Colibrí Manguito de Veragua,R?,
,,Discosura conversii,Green Thorntail,Colibrí Colicerda Verde,R,
,,Lophornis delattrei,Rufous-crested Coquette,Coqueta Crestirrojiza,A,
,,Lophornis helenae,Black-crested Coquette,Coqueta Crestinegra,R,
,,Lophornis adorabilis,White-crested Coquette,Coqueta Crestiblanca,R-END,
,,Heliodoxa jacula,Green-crowned Brilliant,Colibrí Brillante Frentiverde,R,
,,Eugenes spectabilis,Talamanca Hummingbird,Colibrí de Talamanca,R-END,
,,Heliomaster longirostris,Long-billed Starthroat,Colibrí Piquilargo (Pochotero del Sur),R,
,,Heliomaster constantii,Plain-capped Starthroat,Colibrí Pochotero,R,
,,Panterpe insignis,Fiery-throated Hummingbird,Colibrí Garganta de Fuego,R-END,
,,Lampornis hemileucus,White-bellied Mountain-gem,Colibrí Montañés Vientriblanco,R-END,
,,Lampornis calolaemus,Purple-throated Mountain-gem,Colibrí Montañés Gorgimorado,R-END,
,,Lampornis castaneoventris,White-throated Mountain-gem,Colibrí Montañés Gorgiblanco,R-END,
,,Philodice bryantae,Magenta-throated Woodstar,Colibrí Estrellita Gorgimorada,R-END,
,,Archilochus colubris,Ruby-throated Hummingbird,Colibrí Garganta de Rubí,M,
,,Selasphorus flammula,Volcano Hummingbird,"Colibrí Chispita Volcanera (Chispita, Colibrí Mosca)",R-END,
,,Selasphorus scintilla,Scintillant Hummingbird,"Colibrí Chispita Gorginaranja (Chispita, Colibrí Mosca)",R-END,
,,Cynanthus canivetii,Canivet's Emerald,Esmeralda Rabihorcada,R,
,,Chlorostilbon assimilis,Garden Emerald,Esmeralda Jardinero,R-END,
,,Klais guimeti,Violet-headed Hummingbird,Colibrí Cabeciazul,R,
,,Campylopterus hemileucurus,Violet Sabrewing,Ala de Sable Violáceo,R,
,,Chalybura urochrysia,Bronze-tailed Plumeleteer,Colibrí Patirrojo,R,
,,Thalurania colombica,Crowned Woodnymph,Colibrí Ninfa Verde-Violeta,R,
,,Microchera albocoronata,Snowcap,Colibrí Copete de Nieve,R-END,
,,Microchera cupreiceps,Coppery-headed Emerald,Esmeralda de Coronilla Cobriza,R-END,
,,Microchera chionura,White-tailed Emerald,Esmeralda Coliblanca,R-END,
,,Eupherusa eximia,Stripe-tailed Hummingbird,Colibrí Colirrayado ,R,
,,Eupherusa nigriventris,Black-bellied Hummingbird,Colibrí Pechinegro,R-END,
,,Phaeochroa cuvierii,Scaly-breasted Hummingbird,Colibrí Pechiescamado,R,
,,Saucerottia hoffmanni,Blue-vented Hummingbird,Colibrí Vientriazul (Gorrión),R,
,,Saucerottia cyanura,Blue-tailed Hummingbird,Colibrí Coliazul (Gorrión),R,
,,Saucerottia edward,Snowy-bellied Hummingbird,Colibrí Vientriblanco (Gorrión),R-END,
,,Amazilia rutila,Cinnamon Hummingbird,Colibrí Canelo (Gorrión),R,
,,Amazilia tzacatl,Rufous-tailed Hummingbird,Colibrí Rabirrufo (Gorrión),R,
,,Amazilia boucardi,Mangrove Hummingbird,Colibrí de Manglar (Gorrión),R-END,
,,Chrysuronia coeruleogularis,Sapphire-throated Hummingbird,Colibrí Garganta de Zafiro,R,
,,Polyerata amabilis,Blue-chested Hummingbird,Colibrí Pechiazul (Gorrión),R,
,,Polyerata decora,Charming Hummingbird,Colibrí Corona de Berilo (Gorrión),R-END,
,,Chlorestes candida,White-bellied Emerald,Colibrí Pechiblanco (Gorrión),R?,
,,Chlorestes eliciae,Blue-throated Goldentail,Colibrí Colidorado,R,
Gruiformes,,,,,,
,Rallidae (17),,,,,
,,Rallus longirostris,Mangrove Rail,Rascón Picudo,R,
,,Mustelirallus erythrops,Paint-billed Crake ,Polluela Piquirroja,R,
,,Pardirallus maculatus,Spotted Rail,Rascón Moteado,R,
,,Amaurolimnas concolor,Uniform Crake,Rascón Café,R,
,,Aramides axillaris,Rufous-necked Wood-Rail,Rascón Cuellirrufo,R,
,,Aramides albiventris ,Russet-naped Wood-Rail ,Rascón Pomponé,R,
,,Aramides cajaneus,Gray-cowled Wood-Rail,"Rascón Cuelligrís (Chirincoco, Pomponé, Pone-pone)",R,
,,Porzana carolina,Sora,Polluela Sora,M,
,,Gallinula galeata,Common Gallinule,Gallareta Frentirroja (Gallineta),"R, M?",
,,Fulica americana,American Coot,Focha Americana,"R, M",
,,Porphyrio martinicus,Purple Gallinule,"Gallareta Morada (Polla de Agua, Gallina de Agua, Calamón Morada)",R,
,,Rufirallus schomburgkii,Ocellated Crake,Polluela Ocelada,R,
,,Hapalocrex flaviventer,Yellow-breasted Crake,Polluela Pechiamarilla,R,
,,Laterallus ruber,Ruddy Crake,Polluela Colorada,R?- SC,
,,Laterallus albigularis ,White-throated Crake,"Polluela Gargantiblanca (Freidora, Huevo frito)",R,
,,Laterallus exilis,Gray-breasted Crake,Polluela Pechigrís,R,
,,Laterallus jamaicensis,Black Rail,Polluela Negra,"R?, M?- SC",
,Heliornithidae (1),,,,,
,,Heliornis fulica,Sungrebe,"Pato Cantil (Perrito de Agua, Toboba)",R,
,Aramidae (1),,,,,
,,Aramus guarauna,Limpkin,Carao (Correa),R,
Charadriiformes,,,,,,
,Burhinidae (1),,,,,
,,Hesperoburhinus bistriatus,Double-striped Thick-Knee,Alcaraván Americano (Alcaraván),R,
,Recurvirostridae (2),,,,,
,,Himantopus mexicanus,Black-necked Stilt,Cigüeñuela Cuellinegro (Soldadito),"R, M",
,,Recurvirostra americana,American Avocet,Avoceta Americana,M,
,Haematopodidae (1),,,,,
,,Haematopus palliatus,American Oystercatcher,Ostrero Americano,"R, M",
,Charadriidae (10),,,,,
,,Pluvialis squatarola,Black-bellied Plover,Chorlito Gris,M,
,,Pluvialis dominica,American Golden-Plover,Chorlito Dorado Menor,M,
,,Pluvialis fulva,Pacific Golden-Plover,Chorlito Dorado del Pacífico,A,
,,Vanellus chilensis,Southern Lapwing,Chorlitazo Sureño (Avefría),R,
,,Anarhynchus collaris,Collared Plover,Chorlitejo Collarejo (Turillo),R,
,,Anarhynchus nivosus,Snowy Plover,"Chorlitejo Patinegro (Chorlito, Turillo)",M,
,,Anarhynchus wilsonia,Wilson's Plover,"Chorlitejo Picudo (Chorlito Gritón, Turillo)","R, M",
,,Charadrius semipalmatus,Semipalmated Plover,"Chorlitejo Semipalmado (Chorlito, Turillo)",M,
,,Charadrius melodus,Piping Plover,Chorlitejo Silbador,A,
,,Charadrius vociferus,Killdeer,"Chorlitejo de Dos Collares (Pijije, Tildío)","R, M",
,Jacanidae (2),,,,,
,,Jacana spinosa,Northern Jacana,"Jacana Centroamericana (Cirujano, Gallito de Agua, Mulita, Yegüita)",R,
,,Jacana jacana,Wattled Jacana,Jacana Sureña,A,
,Scolopacidae (32),,,,,
,,Bartramia longicauda,Upland Sandpiper,Pradero (Gansa),M,
,,Numenius phaeopus,Whimbrel,"Zarapito Trinador (Cherelá, Zarceta)",M,
,,Numenius americanus,Long-billed Curlew,Zarapito Piquilargo,M,
,,Limosa haemastica,Hudsonian Godwit,Aguja Lomiblanca,M,
,,Limosa fedoa,Marbled Godwit,Aguja Canela,M,
,,Limnodromus griseus,Short-billed Dowitcher,Agujeta Común,M,
,,Limnodromus scolopaceus,Long-billed Dowitcher,Agujeta Silbona,M,
,,Gallinago delicata,Wilson's Snipe,Becacina Común (Becada),M,
,,Phalaropus tricolor,Wilson's Phalarope,Falaropo Tricolor,M,
,,Phalaropus fulicarius,Red Phalarope,Falaropo Rojo,M,
,,Phalaropus lobatus,Red-necked Phalarope,Falaropo Picofino,M,
,,Actitis macularius,Spotted Sandpiper,"Andarríos Maculado (Alzacolita, Piririza, Tigüiza)",M,
,,Tringa solitaria,Solitary Sandpiper,Andarríos Solitario (Tigüiza),M,
,,Tringa incana,Wandering Tattler,Correlimos Vagabundo,M,
,,Tringa flavipes,Lesser Yellowlegs,"Patiamarillo Menor (Pijije, Zarceta)",M,
,,Tringa semipalmata,Willet,Pigüilo,M,
,,Tringa melanoleuca,Greater Yellowlegs,"Patiamarillo Mayor (Correlimos Grande, Pijije, Zarceta)",M,
,,Arenaria interpres,Ruddy Turnstone,Vuelvepiedras Rojizo,M,
,,Calidris canutus,Red Knot,Correlimos Grande,M,
,,Calidris virgata,Surfbird,Chorlito de Rompientes,M,
,,Calidris pugnax,Ruff,Combatiente,M- SC,
,,Calidris ferruginea,Curlew Sandpiper,Correlimos Zarapitín,M,
,,Calidris himantopus,Stilt Sandpiper,"Correlimos Patilargo (Patudo, Becacina)",M,
,,Calidris subruficollis,Buff-breasted Sandpiper,Praderito Pechianteado (Zarceta),M,
,,Calidris alba,Sanderling,Playero Arenero,M,
,,Calidris alpina,Dunlin,Correlimos Pechinegro,M,
,,Calidris bairdii,Baird's Sandpiper,"Correlimos de Baird (Patudo, Becacina)",M,
,,Calidris fuscicollis,White-rumped Sandpiper,"Correlimos Lomiblanco (Patudo, Becacina)",M,
,,Calidris minutilla,Least Sandpiper,"Correlimos Menudo (Patudo, Becacina)",M,
,,Calidris melanotos,Pectoral Sandpiper,"Correlimos Pechirrayado (Patudo, Becacina)",M,
,,Calidris mauri,Western Sandpiper,"Correlimos Occidental (Patudo, Becacina)",M,
,,Calidris pusilla,Semipalmated Sandpiper,Correlimos Semipalmado,M,
,Stercorariidae (4),,,,,
,,Stercorarius longicaudus,Long-tailed Jaeger,Págalo Colilargo,A,
,,Stercorarius parasiticus ,Parasitic Jaeger,Págalo Parásito,M,
,,Stercorarius pomarinus,Pomarine Jaeger,Págalo Pomarino,M,
,,Stercorarius maccormicki,South Polar Skua,Salteador Polar,A- SC,
,Laridae (36),,,,,
,,Creagrus furcatus,Swallow-tailed Gull,Gaviota Tijereta,M,
,,Rissa tridactyla,Black-legged Kittiwake,Gaviota Patinegra,A,
,,Xema sabini,Sabine's Gull,Gaviota de Sabine,M,
,,Chroicocephalus philadelphia,Bonaparte’s Gull,Gaviota de Bonaparte,A,
,,Chroicocephalus cirrocephalus,Gray-hooded Gull,Gaviota Cabecigris,A,
,,Leucophaeus modestus,Gray Gull,Gaviota Torero,A,
,,Leucophaeus atricilla,Laughing Gull,Gaviota Reidora,M,
,,Leucophaeus pipixcan,Franklin's Gull,Gaviota de Franklin,M,
,,Larus heermanni,Heermann's Gull,Gaviota de Heermann,A- SC,
,,Larus delawarensis,Ring-billed Gull,Gaviota Piquianillada,M,
,,Larus occidentalis,Western Gull,Gaviota Occidental,A,
,,Larus dominicanus,Kelp Gull,Gaviota Cocinera,A,
,,Larus argentatus,Herring Gull,Gaviota Argéntea,M,
,,Larus marinus,Great Black-backed Gull,Gavión Atlántico,A,
,,Larus fuscus,Lesser Black-backed Gull,Gaviota Sombría,A,
,,Larus californicus,California Gull,Gaviota Californiana,A,
,,Rynchops niger,Black Skimmer,Rayador Negro,M,
,,Gygis alba ,White Tern,Charrán Blanco (Palomita del Espíritu Santo),R,
,,Anous stolidus,Brown Noddy,Tiñosa Común (Charrán Negro),R,
,,Anous minutus,Black Noddy,Tiñosa Negra (Charrán Negro Pequeño),R,
,,Onychoprion fuscatus,Sooty Tern,Charrán Sombrío,M,
,,Onychoprion anaethetus,Bridled Tern,Charrán Embridado,"RR, M",
,,Sternula  antillarum,Least Tern,Charrán Chico,M,
,,Sternula superciliaris,Yellow-billed Tern,Charrán Piquiamarillo,A,
,,Phaetusa simplex,Large-billed Tern,Charrán Picudo (Charrán de Río),A,
,,Gelochelidon nilotica,Gull-billed Tern,Charrán Piquinegro,M,
,,Hydroprogne caspia,Caspian Tern,Pagaza Mayor,M,
,,Larosterna inca,Inca Tern,Charrán Inca,A,
,,Chlidonias niger,Black Tern,Charrancito Negro,M,
,,Sterna forsteri,Forster's Tern,Charrán de Forster,M,
,,Sterna paradisaea,Arctic Tern,Charrán Viajero,M?,
,,Sterna hirundo,Common Tern,Charrán Común,M,
,,Sterna dougallii,Roseate Tern,Charrán Rosado,A,
,,Thalasseus sandvicensis,Sandwich Tern,Pagaza Puntiamarilla,M,
,,Thalasseus elegans,Elegant Tern,Pagaza Elegante,M,
,,Thalasseus maximus,Royal Tern,Pagaza Real,M,
Eurypygiformes,,,,,,
,Eurypygidae (1),,,,,
,,Eurypyga helias,Sunbittern,"Garza del Sol (Sol y Luna, Ave Canasta)",R,
Phaethontiformes,,,,,,
,Phaethontidae (3),,,,,
,,Phaethon lepturus,White-tailed Tropicbird,Rabijunco Cola Blanca,A,
,,Phaethon aethereus,Red-billed Tropicbird,Rabijunco Piquirrojo,M,
,,Phaethon rubricauda,Red-tailed Tropicbird,Rabijunco Cola Roja,A,
Procellariiformes,,,,,,
,Diomedeidae (2),,,,,
,,Phoebastria irrorata ,Waved Albatross,Albatros de Galápagos,A,
,,Thalassarche chlororhynchos,Atlantic Yellow-nosed Albatross,Albatros Pico Fino,A,
,,,,,,
,Oceanitidae (2),,,,,
,,Oceanites oceanicus,Wilson's Storm-Petrel,Paiño de Wilson,M- SC,
,,Pelagodroma marina,White-faced Storm-Petrel,Paiño Pechialbo,M- SC,
,Hydrobatidae (6),,,,,
,,Hydrobates leucorhous,Leach's Storm-Petrel,Paiño de Leach,M,
,,Hydrobates castro,Band-rumped Storm-Petrel,Paiño Rabifajeado,A- SC,
,,Hydrobates tethys,Wedge-rumped Storm-Petrel,Paiño Danzarin,M,
,,Hydrobates melania,Black Storm-Petrel,Paiño Negro,M,
,,Hydrobates markhami,Markham's Storm-Petrel,Paiño de Markham,M,
,,Hydrobates microsoma,Least Storm-Petrel,Paiño Menudo,M,
,Procellariidae (16),,,,,
,,Pterodroma hasitata,Black-capped Petrel,Petrel Gorrinegro,A- SC,
,,Pterodroma phaeopygia,Galapagos Petrel,Petrel Lomioscuro,A,
,,Pseudobulweria rostrata,Tahiti Petrel,Petrel de Tahiti,M,
,,Procellaria conspicillata,Spectacled Petrel,Petrel de Anteojos,A,
,,Procellaria parkinsoni,Parkinson’s Petrel,Petrel de Parkinson,M,
,,Calonectris diomedea,Cory's Shearwater,Pardela Cenicienta,A,
,,Ardenna creatopus,Pink-footed Shearwater,Pardela Blanca Común,M,
,,Ardenna gravis,Great Shearwater,Pardela Mayor,A,
,,Ardenna pacifica,Wedge-tailed Shearwater,Pardela Colicuña,M,
,,Ardenna grisea,Sooty Shearwater,Pardela Sombría,M,
,,Ardenna tenuirostris,Short-tailed Shearwater,Pardela Colicorta,M?- SC,
,,Puffinus nativitatis,Christmas Shearwater,Pardela de Navidad,A,
,,Puffinus subalaris ,Galapagos Shearwater ,Pardela de las Galápagos,M,
,,Puffinus puffinus,Manx Shearwater,Pardela Manx,A- SC,
,,Puffinus opisthomelas,Black-vented Shearwater,Pardela Culinegra,A,
,,Puffinus lherminieri,Audubon’s Shearwater,Pardela de Audubon,M,
Ciconiiformes,,,,,,
,Ciconiidae (3),,,,,
,,Ciconia maguari,Maguari Stork,Cigüeña Maguari,A,
,,Jabiru mycteria,Jabiru,"Jabirú (Galán Sin Ventura, Veterano)",R,
,,Mycteria americana,Wood Stork,"Cigüeñón (Garzón, Guairón, Cigüeña)","R, M",
Suliformes,,,,,,
,Fregatidae (2),,,,,
,,Fregata magnificens,Magnificent Frigatebird,"Rabihorcado Magno (Tijereta, Fragata, Zopilote de Mar) ",R,
,,Fregata minor,Great Frigatebird,Rabihorcado Grande (Tijereta),R,
,Sulidae (6),,,,,
,,Sula sula,Red-footed Booby ,Piquero Patirrojo ,R,
,,Sula leucogaster,Brown Booby,"Piquero Moreno (Monjita, Alcatraz) ",R,
,,Sula dactylatra,Masked Booby,Piquero Blanco ,R,
,,Sula granti,Nazca Booby,Piquero de Nazca AOCR,R?,
,,Sula nebouxii,Blue-footed Booby,Piquero Patiazul ,M,
,,Sula variegata,Peruvian Booby,Piquero Peruano,A,
,Anhingidae (1),,,,,
,,Anhinga anhinga,Anhinga,Aninga (Pato Aguja),R,
,Phalacrocoracidae (1),,,,,
,,Nannopterum brasilianum,Neotropic Cormorant,"Cormorán Neotropical (Pato Chancho, Pato de Agua, Bigua)",R,
Pelecaniformes,,,,,,
,Pelecanidae (2),,,,,
,,Pelecanus erythrorhynchos,American White Pelican,Pelícano Blanco Americano,A,
,,Pelecanus occidentalis,Brown Pelican,"Pelícano Pardo (Buchón, Pelícano, Alcatraz)",R,
,Ardeidae (20),,,,,
