"Orden","Familia","Taxa","Ingles","Español","...7","Species","# or cw"
"","","Chalybura urochrysia","Bronze-tailed Plumeleteer","Colibrí Patirrojo","",NA,NA
"","","Thalurania colombica","Crowned Woodnymph","Colibrí Ninfa Verde-Violeta","",NA,NA
"","","Microchera albocoronata","Snowcap","Colibrí Copete de Nieve","",NA,NA
"","","Microchera cupreiceps","Coppery-headed Emerald","Esmeralda de Coronilla Cobriza","",NA,NA
"","","Microchera chionura","White-tailed Emerald","Esmeralda Coliblanca","",NA,NA
"","","Eupherusa eximia","Stripe-tailed Hummingbird","Colibrí Colirrayado","",NA,NA
"","","Eupherusa nigriventris","Black-bellied Hummingbird","Colibrí Pechinegro","",NA,NA
"","","Phaeochroa cuvierii","Scaly-breasted Hummingbird","Colibrí Pechiescamado","","Scaly-breasted Hummingbird",NA
"","","Saucerottia hoffmanni","Blue-vented Hummingbird","Colibrí Vientriazul (Gorrión)","",NA,NA
"","","Saucerottia cyanura","Blue-tailed Hummingbird","Colibrí Coliazul (Gorrión)","","Blue-tailed Hummingbird",NA
"","","Saucerottia edward","Snowy-bellied Hummingbird","Colibrí Vientriblanco (Gorrión)","",NA,NA
"","","Amazilia rutila","Cinnamon Hummingbird","Colibrí Canelo (Gorrión)","","Cinnamon Hummingbird",NA
"","","Amazilia tzacatl","Rufous-tailed Hummingbird","Colibrí Rabirrufo (Gorrión)","","Rufous-tailed Hummingbird",NA
"","","Amazilia boucardi","Mangrove Hummingbird","Colibrí de Manglar (Gorrión)","",NA,NA
"","","Chrysuronia coeruleogularis","Sapphire-throated Hummingbird","Colibrí Garganta de Zafiro","",NA,NA
"","","Polyerata amabilis","Blue-chested Hummingbird","Colibrí Pechiazul (Gorrión)","",NA,NA
"","","Polyerata decora","Charming Hummingbird","Colibrí Corona de Berilo (Gorrión)","",NA,NA
"","","Chlorestes candida","White-bellied Emerald","Colibrí Pechiblanco (Gorrión)","",NA,NA
"","","Chlorestes eliciae","Blue-throated Goldentail","Colibrí Colidorado","","Blue-throated Goldentail",NA
"Gruiformes","","","","","",NA,NA
"","Rallidae","","","","",NA,NA
"","","Rallus longirostris","Mangrove Rail","Rascón Picudo","",NA,NA
"","","Mustelirallus erythrops","Paint-billed Crake","Polluela Piquirroja","",NA,NA
"","","Pardirallus maculatus","Spotted Rail","Rascón Moteado","",NA,NA
"","","Amaurolimnas concolor","Uniform Crake","Rascón Café","",NA,NA
"","","Aramides axillaris","Rufous-necked Wood-Rail","Rascón Cuellirrufo","","Rufous-necked Wood-Rail",NA
"","","Aramides albiventris","Russet-naped Wood-Rail","Rascón Pomponé","","Russet-naped Wood-Rail",NA
"","","Aramides cajaneus","Gray-cowled Wood-Rail","Rascón Cuelligrís (Chirincoco, Pomponé, Pone-pone)","",NA,NA
"","","Porzana carolina","Sora","Polluela Sora","","Sora",NA
"","","Gallinula galeata","Common Gallinule","Gallareta Frentirroja (Gallineta)","",NA,NA
"","","Fulica americana","American Coot","Focha Americana","","American Coot",NA
"","","Porphyrio martinicus","Purple Gallinule","Gallareta Morada (Polla de Agua, Gallina de Agua, Calamón Morada)","","Purple Gallinule",NA
"","","Rufirallus schomburgkii","Ocellated Crake","Polluela Ocelada","",NA,NA
"","","Hapalocrex flaviventer","Yellow-breasted Crake","Polluela Pechiamarilla","","Yellow-breasted Crake",NA
"","","Laterallus ruber","Ruddy Crake","Polluela Colorada","",NA,NA
"","","Laterallus albigularis","White-throated Crake","Polluela Gargantiblanca (Freidora, Huevo frito)","",NA,NA
"","","Laterallus exilis","Gray-breasted Crake","Polluela Pechigrís","",NA,NA
"","","Laterallus jamaicensis","Black Rail","Polluela Negra","",NA,NA
"","Heliornithidae","","","","",NA,NA
"","","Heliornis fulica","Sungrebe","Pato Cantil (Perrito de Agua, Toboba)","",NA,NA
"","Aramidae","","","","",NA,NA
"","","Aramus guarauna","Limpkin","Carao (Correa)","","Limpkin",NA
"Charadriiformes","","","","","",NA,NA
"","Burhinidae","","","","",NA,NA
"","","Hesperoburhinus bistriatus","Double-striped Thick-knee","Alcaraván Americano (Alcaraván)","","Double-striped Thick-knee",NA
"","Recurvirostridae","","","","",NA,NA
"","","Himantopus mexicanus","Black-necked Stilt","Cigüeñuela Cuellinegro (Soldadito)","","Black-necked Stilt",NA
"","","Recurvirostra americana","American Avocet","Avoceta Americana","",NA,NA
"","Haematopodidae","","","","",NA,NA
"","","Haematopus palliatus","American Oystercatcher","Ostrero Americano","","American Oystercatcher",NA
"","Charadriidae","","","","",NA,NA
"","","Pluvialis squatarola","Black-bellied Plover","Chorlito Gris","","Black-bellied Plover",NA
"","","Pluvialis dominica","American Golden-Plover","Chorlito Dorado Menor","",NA,NA
"","","Pluvialis fulva","Pacific Golden-Plover","Chorlito Dorado del Pacífico","",NA,NA
"","","Vanellus chilensis","Southern Lapwing","Chorlitazo Sureño (Avefría)","","Southern Lapwing",NA
"","","Anarhynchus collaris","Collared Plover","Chorlitejo Collarejo (Turillo)","","Collared Plover",NA
"","","Anarhynchus nivosus","Snowy Plover","Chorlitejo Patinegro (Chorlito, Turillo)","","Snowy Plover",NA
"","","Anarhynchus wilsonia","Wilson's Plover","Chorlitejo Picudo (Chorlito Gritón, Turillo)","","Wilson's Plover",NA
"","","Charadrius semipalmatus","Semipalmated Plover","Chorlitejo Semipalmado (Chorlito, Turillo)","","Semipalmated Plover",NA
"","","Charadrius melodus","Piping Plover","Chorlitejo Silbador","",NA,NA
"","","Charadrius vociferus","Killdeer","Chorlitejo de Dos Collares (Pijije, Tildío)","","Killdeer",NA
"","Jacanidae","","","","",NA,NA
"","","Jacana spinosa","Northern Jacana","Jacana Centroamericana (Cirujano, Gallito de Agua, Mulita, Yegüita)","","Northern Jacana",NA
"","","Jacana jacana","Wattled Jacana","Jacana Sureña","",NA,NA
"","Scolopacidae","","","","",NA,NA
"","","Bartramia longicauda","Upland Sandpiper","Pradero (Gansa)","",NA,NA
"","","Numenius phaeopus","Whimbrel","Zarapito Trinador (Cherelá, Zarceta)","","Whimbrel",NA
"","","Numenius americanus","Long-billed Curlew","Zarapito Piquilargo","",NA,NA
"","","Limosa haemastica","Hudsonian Godwit","Aguja Lomiblanca","",NA,NA
"","","Limosa fedoa","Marbled Godwit","Aguja Canela","",NA,NA
"","","Limnodromus griseus","Short-billed Dowitcher","Agujeta Común","","Short-billed Dowitcher",NA
"","","Limnodromus scolopaceus","Long-billed Dowitcher","Agujeta Silbona","",NA,NA
"","","Gallinago delicata","Wilson's Snipe","Becacina Común (Becada)","",NA,NA
"","","Phalaropus tricolor","Wilson's Phalarope","Falaropo Tricolor","",NA,NA
"","","Phalaropus fulicarius","Red Phalarope","Falaropo Rojo","",NA,NA
"","","Phalaropus lobatus","Red-necked Phalarope","Falaropo Picofino","",NA,NA
"","","Actitis macularius","Spotted Sandpiper","Andarríos Maculado (Alzacolita, Piririza, Tigüiza)","","Spotted Sandpiper",NA
"","","Tringa solitaria","Solitary Sandpiper","Andarríos Solitario (Tigüiza)","","Solitary Sandpiper",NA
"","","Tringa incana","Wandering Tattler","Correlimos Vagabundo","",NA,NA
"","","Tringa flavipes","Lesser Yellowlegs","Patiamarillo Menor (Pijije, Zarceta)","","Lesser Yellowlegs",NA
"","","Tringa semipalmata","Willet","Pigüilo","","Willet",NA
"","","Tringa melanoleuca","Greater Yellowlegs","Patiamarillo Mayor (Correlimos Grande, Pijije, Zarceta)","","Greater Yellowlegs",NA
