Familia,Taxa,Ingles,Español,Species
Threskiornithidae,,,,
,Eudocimus albus,White Ibis,Ibis Blanco (Coco),White Ibis
,Platalea ajaja,Roseate Spoonbill,"Espátula Rosada (Garza Morena o Rosada, Pato Cuchara o Rosado)",Roseate Spoonbill
Cathartidae,,,,
,Sarcoramphus papa,King Vulture,"Zopilote Rey (Rey Gallinazo, Rey de Zopilotes)",King Vulture
,Coragyps atratus,Black Vulture,"Zopilote Negro (Zoncho, Gallinazo)",Black Vulture
,Cathartes aura,Turkey Vulture,"Zopilote Cabecirrojo (Zonchite, Noneca)",Turkey Vulture
Pandionidae,,,,
,Pandion haliaetus,Osprey,Águila Pescadora (Gavilán Pescador),Osprey
Accipitridae,,,,
,Gampsonyx swainsonii,Pearl Kite,Elanio Enano,Pearl Kite
,Elanus leucurus,White-tailed Kite,"Elanio Coliblanco (Gavilán Bailarín, Gavilancillo Blanco)",White-tailed Kite
,Chondrohierax uncinatus,Hook-billed Kite,Gavilán Piquiganchudo,Hook-billed Kite
,Leptodon cayanensis,Gray-headed Kite,Gavilán Cabecigrís,Gray-headed Kite
,Rostrhamus sociabilis,Snail Kite,Elanio Caracolero (Gavilán Caracolero),Snail Kite
,Harpagus bidentatus,Double-toothed Kite,Gavilán Gorgirrayado,Double-toothed Kite
,Ictinia mississippiensis,Mississippi Kite,Elanio Colinegro,Mississippi Kite
,Accipiter striatus,Sharp-shinned Hawk,Gavilán Pajarero (Camaleón),Sharp-shinned Hawk
,Geranospiza caerulescens,Crane Hawk,Gavilán Ranero (Caracolero),Crane Hawk
,Buteogallus anthracinus,Common Black Hawk,Gavilán Cangrejero,Common Black Hawk
,Buteogallus urubitinga,Great Black Hawk,"Gavilán Negro Mayor (Aguilucho, Gavilán Silbero, Cangrejero)",Great Black Hawk
,Rupornis magnirostris,Roadside Hawk,Gavilán Chapulinero (Pata Podrida),Roadside Hawk
,Geranoaetus albicaudatus,White-tailed Hawk,Gavilán Coliblanco (Gavilán Sabanero),White-tailed Hawk
,Buteo plagiatus,Gray Hawk,Gavilán Gris (Gavilán Pollero),Gray Hawk
,Buteo platypterus,Broad-winged Hawk,Gavilán Aludo (Gavilán Pollero),Broad-winged Hawk
,Buteo brachyurus,Short-tailed Hawk,Gavilán Colicorto,Short-tailed Hawk
,Buteo swainsoni,Swainson's Hawk,Gavilán de Swainson,Swainson's Hawk
,Buteo albonotatus,Zone-tailed Hawk,Gavilán Colifajeado,Zone-tailed Hawk
Tytonidae,,,,
,Tyto alba,Barn Owl,"Lechuza Ratonera (Lechuza de Campanario, Cara de Gato, Búho)",Barn Owl
Strigidae,,,,
,Megascops cooperi,Pacific Screech-Owl,"Lechucita Sabanera (Ju de León, Estucurú o Sorococa)",Pacific Screech-Owl
,Pulsatrix perspicillata,Spectacled Owl,Búho de Anteojos (Oropopo),Spectacled Owl
,Glaucidium brasilianum,Ferruginous Pygmy-Owl,"Mochuelo Común (Cuatro Ojos, Majafierro)",Ferruginous Pygmy-Owl
,Strix virgata,Mottled Owl,Lechuza Café (Ju de León),Mottled Owl
Trogonidae,,,,
,Trogon melanocephalus,Black-headed Trogon,Trogón Cabecinegro (Viuda Amarilla),Black-headed Trogon
,Trogon caligatus,Gartered Trogon,Trogón Violáceo,Gartered Trogon
,Trogon elegans,Elegant Trogon,Trogón Elegante (Viuda Roja),Elegant Trogon
Momotidae,,,,
,Momotus lessonii,Lesson’s Motmot,"Momoto Coroniazul (Pájaro Bobo, Bobo Azul)",Lesson’s Motmot
,Eumomota superciliosa,Turquoise-browed Motmot,Momoto Cejiceleste (Pájaro Bobo),Turquoise-browed Motmot
Alcedinidae,,,,
,Megaceryle  torquata,Ringed Kingfisher,Martín Pescador Collarejo,Ringed Kingfisher
,Megaceryle alcyon,Belted Kingfisher,Martín Pescador Norteño,Belted Kingfisher
,Chloroceryle amazona,Amazon Kingfisher,Martín Pescador Amazónico,Amazon Kingfisher
,Chloroceryle aenea,American Pygmy Kingfisher,Martín Pescador Enano,American Pygmy Kingfisher
,Chloroceryle americana,Green Kingfisher,Martín Pescador Verde,Green Kingfisher
Bucconidae,,,,
,Notharchus hyperrhynchus,White-necked Puffbird,Buco Collarejo,White-necked Puffbird
Ramphastidae,,,,
,Pteroglossus torquatus,Collared Aracari,"Tucancillo Collarejo (Cusingo, Tití, Félix)",Collared Aracari
,Ramphastos sulfuratus,Keel-billed Toucan,"Tucán Pico Iris (Tucán Pico Arcoiris, Curré Negro)",Keel-billed Toucan
Picidae,,,,
,Sphyrapicus varius,Yellow-bellied Sapsucker,Carpintero Bebedor,Yellow-bellied Sapsucker
,Melanerpes hoffmannii,Hoffmann's Woodpecker,Carpintero de Hoffmann,Hoffmann's Woodpecker
,Campephilus guatemalensis,Pale-billed Woodpecker,"Carpintero Picoplata (Dos Golpes, Carpintero Chiricano)",Pale-billed Woodpecker
,Dryocopus lineatus,Lineated Woodpecker,Carpintero Lineado,Lineated Woodpecker
Falconidae,,,,
,Herpetotheres cachinnans,Laughing Falcon,Guaco,Laughing Falcon
,Micrastur semitorquatus,Collared Forest-Falcon,Halcón de Monte Collarejo,Collared Forest-Falcon
,Caracara plancus,Crested Caracara,"Caracara Cargahuesos (Cargahuesos, Querque, Quebrantahuesos)",Crested Caracara
,Milvago chimachima,Yellow-headed Caracara,Caracara Cabecigualdo,Yellow-headed Caracara
,Falco sparverius,American Kestrel,"Cernícalo Americano (Klis-Klis, Camaleón)",American Kestrel
,Falco columbarius,Merlin,Esmerejón,Merlin
,Falco rufigularis,Bat Falcon,Halcón Cuelliblanco,Bat Falcon
,Falco peregrinus,Peregrine Falcon,Halcón Peregrino,Peregrine Falcon
Psittacidae,,,,
,Brotogeris jugularis,Orange-chinned Parakeet,"Periquito Barbinaranja (Perico, Zapoyolito, Chimbolito, Catano)",Orange-chinned Parakeet
,Pyrilia haematotis,Brown-hooded Parrot,Loro Cabecipardo (Lora),Brown-hooded Parrot
,Amazona autumnalis,Red-lored Parrot,Loro Frentirrojo (Lora Jupa Roja),Red-lored Parrot
,Amazona auropalliata,Yellow-naped Parrot,Lora de Nuca Amarilla (Lora Jupa Amarilla),Yellow-naped Parrot
,Amazona albifrons,White-fronted Parrot,"Loro Frentiblanco (Cancan, Lora)",White-fronted Parrot
,Amazona farinosa,Mealy Parrot,"Loro Verde (Lora Cabeza Negra, Lora Jupa Gris)",Mealy Parrot
,Eupsittula canicularis,Orange-fronted Parakeet,"Perico Frentinaranja (Catano, Periquito, Zapoyol)",Orange-fronted Parakeet
Thamnophilidae,,,,
,Thamnophilus doliatus,Barred Antshrike,Batará Barreteado,Barred Antshrike
,Thamnophilus atrinucha,Black-crowned Antshrike,Batará Plomizo,Black-crowned Antshrike
,Thamnophilus atrinucha,Black-crowned Antshrike,Batará Plomizo,Black-crowned Antshrike
Furnariidae,,,,
